word,neighbor,my_code,notes,claude_first_pass_code,cosine
bread,dough,,,NEEDS_REVIEW,0.3184
bread,buns,,,NEEDS_REVIEW,0.3086
bread,cake,,,NEEDS_REVIEW,0.3066
bread,flour,,,NEEDS_REVIEW,0.3066
bread,pizza,,,NEEDS_REVIEW,0.2969
bread,pastry,,,NEEDS_REVIEW,0.2969
bread,Baking,,,NEEDS_REVIEW,0.2969
bread,biscuit,,,NEEDS_REVIEW,0.2949
bread,brioche,,,NEEDS_REVIEW,0.2949
bread,bake,,,NEEDS_REVIEW,0.293
bread,Dough,,,NEEDS_REVIEW,0.293
bread,pastries,,,NEEDS_REVIEW,0.291
bread,cakes,,,NEEDS_REVIEW,0.2891
bread,Bakers,,,NEEDS_REVIEW,0.2891
bread,baking,,,NEEDS_REVIEW,0.2871
bread,crumbs,,,NEEDS_REVIEW,0.2852
bread,Cake,,,NEEDS_REVIEW,0.2832
bread,pizzas,,,NEEDS_REVIEW,0.2832
bread,MEAT,,,NEEDS_REVIEW,0.2832
bread,toast,,,NEEDS_REVIEW,0.2793
bread,cheese,,,NEEDS_REVIEW,0.2773
bread,wheat,,,NEEDS_REVIEW,0.2773
bread,meat,,,NEEDS_REVIEW,0.2754
bread,Cakes,,,NEEDS_REVIEW,0.2754
bread,sandwiches,,,NEEDS_REVIEW,0.2715
bread,biscuits,,,NEEDS_REVIEW,0.2715
bread,tortillas,,,NEEDS_REVIEW,0.2715
bread,Bred,,,NEEDS_REVIEW,0.2715
bread,Pastry,,,NEEDS_REVIEW,0.2715
bread,baked,,,NEEDS_REVIEW,0.2695
bread,tortilla,,,NEEDS_REVIEW,0.2695
bread,bagel,,,NEEDS_REVIEW,0.2695
bread,bagels,,,NEEDS_REVIEW,0.2695
bread,Toast,,,NEEDS_REVIEW,0.2676
bread,bred,,,NEEDS_REVIEW,0.2676
bread,Cereal,,,NEEDS_REVIEW,0.2676
salt,salt,,,MO,0.9961
salt,Salt,,,MO,0.8281
salt,salts,,,MO,0.6328
salt,SALT,,,MO,0.6094
salt,salty,,,MO,0.5273
salt,saltwater,,,NEEDS_REVIEW,0.5
salt,Salts,,,MO,0.5
salt,salted,,,MO,0.4531
salt,saline,,,NEEDS_REVIEW,0.4121
salt,NaCl,,,NEEDS_REVIEW,0.4023
salt,salinity,,,NEEDS_REVIEW,0.3945
salt,Salty,,,MO,0.3809
salt,sodium,,,NEEDS_REVIEW,0.3496
salt,Salinity,,,NEEDS_REVIEW,0.3281
salt,Saline,,,NEEDS_REVIEW,0.3203
salt,brine,,,NEEDS_REVIEW,0.3047
salt,Sodium,,,NEEDS_REVIEW,0.3008
salt,chloride,,,NEEDS_REVIEW,0.2891
salt,Chloride,,,NEEDS_REVIEW,0.2656
salt,sugar,,,NEEDS_REVIEW,0.2539
salt,ionic,,,NEEDS_REVIEW,0.2471
salt,Salter,,,MO,0.2432
salt,Utah,,,NEEDS_REVIEW,0.2402
salt,salary,,,NEEDS_REVIEW,0.2402
salt,sand,,,NEEDS_REVIEW,0.2363
salt,Salary,,,NEEDS_REVIEW,0.2354
salt,KCl,,,NEEDS_REVIEW,0.2334
salt,SUGAR,,,NEEDS_REVIEW,0.2314
salt,salad,,,NEEDS_REVIEW,0.2256
salt,Salad,,,NEEDS_REVIEW,0.2227
salt,seasoning,,,NEEDS_REVIEW,0.2227
salt,seawater,,,NEEDS_REVIEW,0.2217
salt,rice,,,NEEDS_REVIEW,0.2207
salt,brackish,,,NEEDS_REVIEW,0.2207
salt,potassium,,,NEEDS_REVIEW,0.2197
salt,spice,,,NEEDS_REVIEW,0.2197
salt,electrolyte,,,NEEDS_REVIEW,0.2158
salt,SLC,,,NEEDS_REVIEW,0.2129
salt,unsalted,,,NEEDS_REVIEW,0.2129
salt,magnesium,,,NEEDS_REVIEW,0.21
salt,alkali,,,NEEDS_REVIEW,0.209
salt,zinc,,,NEEDS_REVIEW,0.208
salt,Ionic,,,NEEDS_REVIEW,0.208
salt,seasonings,,,NEEDS_REVIEW,0.207
salt,pepper,,,NEEDS_REVIEW,0.2051
salt,Spice,,,NEEDS_REVIEW,0.2051
salt,Sugar,,,NEEDS_REVIEW,0.2041
salt,sail,,,NEEDS_REVIEW,0.2041
salt,pickle,,,NEEDS_REVIEW,0.2031
salt,Mormon,,,NEEDS_REVIEW,0.2031
fire,fire,,,MO,0.9961
fire,Fire,,,MO,0.8398
fire,FIRE,,,MO,0.7383
fire,fires,,,MO,0.6328
fire,fired,,,MO,0.4863
fire,Fires,,,MO,0.4727
fire,firing,,,MO,0.418
fire,firefighters,,,NEEDS_REVIEW,0.416
fire,fireplace,,,NEEDS_REVIEW,0.3906
fire,firefighting,,,NEEDS_REVIEW,0.3848
fire,firefighter,,,NEEDS_REVIEW,0.3828
fire,wildfire,,,NEEDS_REVIEW,0.3828
fire,flame,,,NEEDS_REVIEW,0.3809
fire,flames,,,NEEDS_REVIEW,0.3535
fire,fiery,,,NEEDS_REVIEW,0.3418
fire,Fired,,,MO,0.3223
fire,Fireplace,,,NEEDS_REVIEW,0.3203
fire,fireman,,,NEEDS_REVIEW,0.3047
fire,firemen,,,NEEDS_REVIEW,0.3047
fire,Firing,,,MO,0.2949
fire,firewall,,,NEEDS_REVIEW,0.2891
fire,fireball,,,NEEDS_REVIEW,0.2852
fire,wildfires,,,NEEDS_REVIEW,0.2832
fire,blaze,,,NEEDS_REVIEW,0.2812
fire,Flame,,,NEEDS_REVIEW,0.2793
fire,fir,,,NEEDS_REVIEW,0.2773
fire,hearth,,,NEEDS_REVIEW,0.2773
fire,burn,,,NEEDS_REVIEW,0.2656
fire,burning,,,NEEDS_REVIEW,0.2598
fire,arson,,,NEEDS_REVIEW,0.2539
fire,fireplaces,,,NEEDS_REVIEW,0.25
fire,Firefly,,,NEEDS_REVIEW,0.2422
fire,campfire,,,NEEDS_REVIEW,0.2393
fire,bonfire,,,NEEDS_REVIEW,0.2314
fire,smoke,,,NEEDS_REVIEW,0.2207
fire,firepower,,,NEEDS_REVIEW,0.2197
fire,burned,,,NEEDS_REVIEW,0.2188
fire,Firebase,,,NEEDS_REVIEW,0.2188
fire,firebase,,,NEEDS_REVIEW,0.2148
fire,Flames,,,NEEDS_REVIEW,0.2148
fire,Burn,,,NEEDS_REVIEW,0.2109
fire,fireworks,,,NEEDS_REVIEW,0.21
fire,huo,,,NEEDS_REVIEW,0.21
fire,Fireworks,,,NEEDS_REVIEW,0.208
fire,Firewall,,,NEEDS_REVIEW,0.2041
fire,Burning,,,NEEDS_REVIEW,0.2012
fire,heat,,,NEEDS_REVIEW,0.1982
fire,burns,,,NEEDS_REVIEW,0.1982
fire,spark,,,NEEDS_REVIEW,0.1973
fire,firework,,,NEEDS_REVIEW,0.1973
blood,blood,,,MO,1.0
blood,Blood,,,MO,0.8398
blood,BLOOD,,,MO,0.7305
blood,bloody,,,MO,0.3828
blood,bloodstream,,,NEEDS_REVIEW,0.3633
blood,bloodshed,,,NEEDS_REVIEW,0.3594
blood,blooded,,,MO,0.332
blood,bleeding,,,NEEDS_REVIEW,0.2695
blood,Bloody,,,MO,0.2656
blood,plasma,,,NEEDS_REVIEW,0.252
blood,serum,,,NEEDS_REVIEW,0.2334
blood,bleed,,,NEEDS_REVIEW,0.2129
blood,bled,,,NEEDS_REVIEW,0.2051
blood,bone,,,NEEDS_REVIEW,0.2021
blood,vascular,,,NEEDS_REVIEW,0.2021
blood,diabetes,,,NEEDS_REVIEW,0.1982
blood,transfusion,,,NEEDS_REVIEW,0.1982
blood,urine,,,NEEDS_REVIEW,0.1973
blood,gore,,,NEEDS_REVIEW,0.1963
blood,arterial,,,NEEDS_REVIEW,0.1953
blood,milk,,,NEEDS_REVIEW,0.1904
blood,circulatory,,,NEEDS_REVIEW,0.1904
blood,sanguine,,,NEEDS_REVIEW,0.1885
blood,soil,,,NEEDS_REVIEW,0.1875
blood,venous,,,NEEDS_REVIEW,0.1875
blood,sweat,,,NEEDS_REVIEW,0.1855
blood,DNA,,,NEEDS_REVIEW,0.1816
blood,glucose,,,NEEDS_REVIEW,0.1797
blood,water,,,NEEDS_REVIEW,0.1777
blood,hemoglobin,,,NEEDS_REVIEW,0.1738
blood,biological,,,NEEDS_REVIEW,0.1729
blood,skin,,,NEEDS_REVIEW,0.1709
blood,Plasma,,,NEEDS_REVIEW,0.1689
blood,brain,,,NEEDS_REVIEW,0.167
blood,artery,,,NEEDS_REVIEW,0.166
blood,hair,,,NEEDS_REVIEW,0.165
blood,sugar,,,NEEDS_REVIEW,0.165
blood,flesh,,,NEEDS_REVIEW,0.165
blood,Serum,,,NEEDS_REVIEW,0.165
blood,gory,,,NEEDS_REVIEW,0.165
blood,Bleeding,,,NEEDS_REVIEW,0.165
blood,air,,,NEEDS_REVIEW,0.1641
blood,hemorrhage,,,NEEDS_REVIEW,0.1602
blood,tissue,,,NEEDS_REVIEW,0.1592
blood,cholesterol,,,NEEDS_REVIEW,0.1592
blood,bleeds,,,NEEDS_REVIEW,0.1592
blood,red,,,NEEDS_REVIEW,0.1582
blood,bones,,,NEEDS_REVIEW,0.1572
blood,heart,,,NEEDS_REVIEW,0.1562
blood,oil,,,NEEDS_REVIEW,0.1533
hand,hand,,,MO,1.0078
hand,Hand,,,MO,0.8008
hand,HAND,,,MO,0.6992
hand,hands,,,MO,0.5078
hand,handed,,,MO,0.4258
hand,handing,,,MO,0.3828
hand,Hands,,,MO,0.3691
hand,handheld,,,NEEDS_REVIEW,0.3184
hand,HANDS,,,MO,0.3184
hand,handmade,,,NEEDS_REVIEW,0.3105
hand,arm,,,NEEDS_REVIEW,0.2598
hand,handcrafted,,,NEEDS_REVIEW,0.2539
hand,finger,,,NEEDS_REVIEW,0.25
hand,hander,,,MO,0.2422
hand,handle,,,NEEDS_REVIEW,0.2402
hand,manual,,,NEEDS_REVIEW,0.2363
hand,handover,,,NEEDS_REVIEW,0.2344
hand,handa,,,NEEDS_REVIEW,0.2314
hand,handset,,,NEEDS_REVIEW,0.2305
hand,foot,,,NEEDS_REVIEW,0.2139
hand,re,,,NEEDS_REVIEW,0.2041
hand,h,,,NEEDS_REVIEW,0.2031
hand,palm,,,NEEDS_REVIEW,0.2002
hand,handi,,,NEEDS_REVIEW,0.1973
hand,g,,,NEEDS_REVIEW,0.1953
hand,go,,,NEEDS_REVIEW,0.1934
hand,t,,,NEEDS_REVIEW,0.1924
hand,set,,,NEEDS_REVIEW,0.1924
hand,p,,,NEEDS_REVIEW,0.1914
hand,pre,,,NEEDS_REVIEW,0.1904
hand,f,,,NEEDS_REVIEW,0.1895
hand,face,,,NEEDS_REVIEW,0.1885
hand,handbook,,,NEEDS_REVIEW,0.1875
hand,do,,,NEEDS_REVIEW,0.1865
hand,head,,,NEEDS_REVIEW,0.1865
hand,in,,,NEEDS_REVIEW,0.1846
hand,b,,,NEEDS_REVIEW,0.1836
hand,be,,,NEEDS_REVIEW,0.1836
hand,eye,,,NEEDS_REVIEW,0.1836
hand,end,,,NEEDS_REVIEW,0.1816
hand,manually,,,NEEDS_REVIEW,0.1807
hand,a,,,NEEDS_REVIEW,0.1787
hand,m,,,NEEDS_REVIEW,0.1787
hand,get,,,NEEDS_REVIEW,0.1787
hand,all,,,NEEDS_REVIEW,0.1777
hand,high,,,NEEDS_REVIEW,0.1777
hand,red,,,NEEDS_REVIEW,0.1777
hand,one,,,NEEDS_REVIEW,0.1768
hand,leg,,,NEEDS_REVIEW,0.1768
hand,home,,,NEEDS_REVIEW,0.1758
tree,tree,,,MO,0.9961
tree,Tree,,,MO,0.8516
tree,TREE,,,MO,0.75
tree,trees,,,MO,0.7188
tree,Trees,,,MO,0.6211
tree,TREES,,,MO,0.5156
tree,tress,,,NEEDS_REVIEW,0.2949
tree,forest,,,NEEDS_REVIEW,0.2852
tree,shrub,,,NEEDS_REVIEW,0.2637
tree,arbor,,,NEEDS_REVIEW,0.2441
tree,branches,,,NEEDS_REVIEW,0.2383
tree,forests,,,NEEDS_REVIEW,0.2334
tree,ree,,,NEEDS_REVIEW,0.2324
tree,forestry,,,NEEDS_REVIEW,0.2324
tree,bush,,,NEEDS_REVIEW,0.2295
tree,Arbor,,,NEEDS_REVIEW,0.2285
tree,branch,,,NEEDS_REVIEW,0.2246
tree,FOREST,,,NEEDS_REVIEW,0.2207
tree,Forest,,,NEEDS_REVIEW,0.2148
tree,wood,,,NEEDS_REVIEW,0.2139
tree,oak,,,NEEDS_REVIEW,0.2129
tree,timber,,,NEEDS_REVIEW,0.2129
tree,wooded,,,NEEDS_REVIEW,0.2119
tree,Forestry,,,NEEDS_REVIEW,0.2109
tree,bird,,,NEEDS_REVIEW,0.209
tree,plant,,,NEEDS_REVIEW,0.208
tree,pine,,,NEEDS_REVIEW,0.208
tree,leaf,,,NEEDS_REVIEW,0.2041
tree,node,,,NEEDS_REVIEW,0.2002
tree,twig,,,NEEDS_REVIEW,0.1982
tree,shrubs,,,NEEDS_REVIEW,0.1963
tree,rees,,,NEEDS_REVIEW,0.1953
tree,river,,,NEEDS_REVIEW,0.1943
tree,forested,,,NEEDS_REVIEW,0.1943
tree,bushes,,,NEEDS_REVIEW,0.1924
tree,grove,,,NEEDS_REVIEW,0.1914
tree,teacher,,,NEEDS_REVIEW,0.1904
tree,woods,,,NEEDS_REVIEW,0.1904
tree,vegetation,,,NEEDS_REVIEW,0.1885
tree,Branch,,,NEEDS_REVIEW,0.1865
tree,Forests,,,NEEDS_REVIEW,0.1865
tree,graph,,,NEEDS_REVIEW,0.1855
tree,orchard,,,NEEDS_REVIEW,0.1846
tree,tower,,,NEEDS_REVIEW,0.1836
tree,woodland,,,NEEDS_REVIEW,0.1836
tree,fruit,,,NEEDS_REVIEW,0.1826
tree,twigs,,,NEEDS_REVIEW,0.1826
tree,stone,,,NEEDS_REVIEW,0.1816
tree,flower,,,NEEDS_REVIEW,0.1816
tree,trunk,,,NEEDS_REVIEW,0.1816
milk,milk,,,MO,1.0
milk,Milk,,,MO,0.8555
milk,MILK,,,MO,0.7734
milk,dairy,,,NEEDS_REVIEW,0.5117
milk,milking,,,MO,0.4961
milk,milky,,,MO,0.4609
milk,Dairy,,,NEEDS_REVIEW,0.4492
milk,mle,,,NEEDS_REVIEW,0.3691
milk,yogurt,,,NEEDS_REVIEW,0.3457
milk,milkshake,,,NEEDS_REVIEW,0.3438
milk,Milky,,,MO,0.334
milk,lactation,,,NEEDS_REVIEW,0.334
milk,lactose,,,NEEDS_REVIEW,0.3301
milk,whey,,,NEEDS_REVIEW,0.3281
milk,cows,,,NEEDS_REVIEW,0.3164
milk,casein,,,NEEDS_REVIEW,0.3125
milk,cheese,,,NEEDS_REVIEW,0.3105
milk,yoghurt,,,NEEDS_REVIEW,0.3105
milk,mammary,,,NEEDS_REVIEW,0.3047
milk,buttermilk,,,NEEDS_REVIEW,0.3047
milk,Cows,,,NEEDS_REVIEW,0.3008
milk,Yogurt,,,NEEDS_REVIEW,0.2988
milk,Cheese,,,NEEDS_REVIEW,0.2949
milk,breastfeeding,,,NEEDS_REVIEW,0.293
milk,Milo,,,NEEDS_REVIEW,0.291
milk,beer,,,NEEDS_REVIEW,0.2852
milk,eggs,,,NEEDS_REVIEW,0.2812
milk,butter,,,NEEDS_REVIEW,0.2793
milk,Milwaukee,,,NEEDS_REVIEW,0.2793
milk,egg,,,NEEDS_REVIEW,0.2773
milk,wool,,,NEEDS_REVIEW,0.2773
milk,milf,,,NEEDS_REVIEW,0.2773
milk,breast,,,NEEDS_REVIEW,0.2734
milk,juice,,,NEEDS_REVIEW,0.2715
milk,cream,,,NEEDS_REVIEW,0.2695
milk,Eggs,,,NEEDS_REVIEW,0.2695
milk,Syrup,,,NEEDS_REVIEW,0.2695
milk,nectar,,,NEEDS_REVIEW,0.2676
milk,ghee,,,NEEDS_REVIEW,0.2676
milk,BEER,,,NEEDS_REVIEW,0.2676
milk,cow,,,NEEDS_REVIEW,0.2656
milk,CREAM,,,NEEDS_REVIEW,0.2656
milk,milo,,,NEEDS_REVIEW,0.2656
milk,Breast,,,NEEDS_REVIEW,0.2637
milk,custard,,,NEEDS_REVIEW,0.2617
milk,whiskey,,,NEEDS_REVIEW,0.2598
milk,cheeses,,,NEEDS_REVIEW,0.2598
milk,curd,,,NEEDS_REVIEW,0.2598
milk,cattle,,,NEEDS_REVIEW,0.2578
milk,toothpaste,,,NEEDS_REVIEW,0.2578
bone,bone,,,MO,0.9961
bone,Bone,,,MO,0.8477
bone,bones,,,MO,0.6836
bone,BONE,,,MO,0.6289
bone,Bones,,,MO,0.5508
bone,bony,,,MO,0.4219
bone,skeletal,,,NEEDS_REVIEW,0.3633
bone,skeleton,,,NEEDS_REVIEW,0.3418
bone,marrow,,,NEEDS_REVIEW,0.3379
bone,Skeletal,,,NEEDS_REVIEW,0.3125
bone,skull,,,NEEDS_REVIEW,0.3008
bone,boneless,,,MO,0.2988
bone,Skeleton,,,NEEDS_REVIEW,0.291
bone,osteoporosis,,,NEEDS_REVIEW,0.2891
bone,skeletons,,,NEEDS_REVIEW,0.2793
bone,spine,,,NEEDS_REVIEW,0.2715
bone,cartilage,,,NEEDS_REVIEW,0.2695
bone,Marrow,,,NEEDS_REVIEW,0.2695
bone,femur,,,NEEDS_REVIEW,0.2637
bone,muscle,,,NEEDS_REVIEW,0.2578
bone,musculoskeletal,,,NEEDS_REVIEW,0.25
bone,orthopedic,,,NEEDS_REVIEW,0.2461
bone,vertebrae,,,NEEDS_REVIEW,0.2441
bone,rib,,,NEEDS_REVIEW,0.2432
bone,stone,,,NEEDS_REVIEW,0.2393
bone,fracture,,,NEEDS_REVIEW,0.2393
bone,BMD,,,NEEDS_REVIEW,0.2363
bone,nerve,,,NEEDS_REVIEW,0.2354
bone,Skull,,,NEEDS_REVIEW,0.2354
bone,Spine,,,NEEDS_REVIEW,0.2344
bone,STONE,,,NEEDS_REVIEW,0.2334
bone,brain,,,NEEDS_REVIEW,0.2305
bone,skin,,,NEEDS_REVIEW,0.2266
bone,BLOOD,,,NEEDS_REVIEW,0.2227
bone,Muscle,,,NEEDS_REVIEW,0.2207
bone,tendon,,,NEEDS_REVIEW,0.2207
bone,vertebra,,,NEEDS_REVIEW,0.2207
bone,knuckle,,,NEEDS_REVIEW,0.2207
bone,Fracture,,,NEEDS_REVIEW,0.2197
bone,skulls,,,NEEDS_REVIEW,0.2178
bone,tibia,,,NEEDS_REVIEW,0.2148
bone,jaw,,,NEEDS_REVIEW,0.2139
bone,spinal,,,NEEDS_REVIEW,0.2139
bone,fractures,,,NEEDS_REVIEW,0.2119
bone,backbone,,,NEEDS_REVIEW,0.2119
bone,Skin,,,NEEDS_REVIEW,0.2109
bone,tooth,,,NEEDS_REVIEW,0.209
bone,ribs,,,NEEDS_REVIEW,0.207
bone,vertebral,,,NEEDS_REVIEW,0.2061
bone,Nerve,,,NEEDS_REVIEW,0.2061
